topic,date,userid,post
Is Bearing having fluting marks?,2019-08-19T18:41:43,SAM THE GROUNDING MAN,"First time on this blog and I see these postings are a couple years old, but here goes it anyway:
I reviewed the pictures and agree you are experiencing electrically induced bearing failure.  Incidence rates of bearing failure on VFD motors is at least 60% by 2 years and only continues to climb from there.  It is a well-accepted and pervasive problem that particularly plagues operations that run 24/7.  The following information is based on long-term field and lab studies over 30 years.
1) Capacitive discharge through the bearing is a local event caused by the VFD gated mechanism switching on and off.   VFD brands, altering the carrier frequency, installing induction absorbers on the wiring, shunts, conductive grease, etc. are not a fix for this phenomenon.  A shaft grounding device is the only known way to economically eliminate capacitive discharge through the bearing.
2)  Circulating currents can be present on larger framed motors and are inherent to the motor.  This is different than capacitive coupling as described above under #1.  Our field research has shown that motors 100-200hp and with rpm <=1200 or motors >=200hp regardless of rpm are susceptible to circulating currents.  Incident rates of circulating currents being present is 25-35% for the motor parameters described above.  Insulated bearings will not take care of circulating currents as the current will find a parallel pathway and take out bearings in connected equipment.  A typical set-up to deal with circulating currents is to either provide shaft grounding on both ends of the motor or use an insulated bearing on the non-drive end and a drive end shaft grounding system to break the current loop.
3)  Not all shaft grounding devices are equal.  It is certainly confusing with the different available products on the market.   The following are key principals that cannot be ignored while researching shaft grounding products.  Always have these concepts and questions at the forefront of your mind when researching shaft grounding options:
The grounding system MUST be a better competitor to the bearing for grounding the voltage/current away from the bearing.  While most shaft grounding systems lower shaft voltages right out of the box, not all shaft grounding systems lower voltages below the threshold to prevent current flow through the dielectric (bearing grease) then onto the bearing.  Moreover, most shaft grounding systems cannot maintain for the long-term voltages below the known threshold.  One major manufacturer of shaft grounding rings (SGRs) was asked the question during a webinar ""how do you know the grounding system is working?"" and their response was if the shaft voltage readings are below 10v, then the grounding system is working.  Problem with that response is shaft voltages needs to be much lower than 10v to prevent breakover through the bearing grease.  While 10v will certainly slow down electrically induced bearing damage, it will not eliminate the problem.  We've extensively lab tested the above referenced shaft grounding products and found that out of the box, the shaft grounding ring drops shaft voltages from ~30v peak-to-peak (no shaft grounding) down to 5-7v peak-to-peak.  Even the 5-7v peak-to-peak isn't low enough to prevent dielectric breakover.  As our test motors ran 24/7, the 5-7v creeped up to ~15-17v after just over a year of continuous operation.  These results are better than no shaft grounding, however, the test motors' bearings fluted after 3 years of operation; far less than the motors service life.  
In short, don't be afraid to asked the following questions.  They will cut to the core of how a shaft grounding system performs: 1) what shaft voltages does the shaft grounding system achieve?  2) how does the system maintain the shaft voltages below that threshold known to cause breakover through the bearing grease? 3)  If the environment is dirty, then how does the shaft grounding system ensure a path of least resistance for current to flow away from the bearing?  It doesn't take a lot of contamination to negatively impact shaft grounding performance.  
I hope this information is help.  Feel free to let me know if you have any follow-up questions. 
Sam P.
www.shaftgroundingsystems.com
 "
Reciprocating Compressor Liner Failure,2019-07-12T05:38:31,PAWANNLNG,"We have Reciprocating type Dresser Rand make Natural Gas ( BOG)  compressor.. It is 2 stage 4 cylinder compressor.Recently we have done complete overhauling of the machine and replaced all piston ring and rider ring with new one. In HP NDE Cylinder Piston rubbed the liner after only 50 hrs of running hour. With same piston ring and rider ring we are getting more than 4500 running hour life. In one piston there is 2 Piston and 2 rider rings. Construction of rings is Rings Split type.
What are probable reason for failure??"
Reciprocating Compressor Liner Failure,2019-07-13T11:38:54,DAVE REYNOLDS,"Please provide additional details, do you have any photos of damaged liner? Rubbed the liner is a very broad term, rubbed where in the liner? new liners? packing? any measurements taken on the liner to prove it is straight and not worn?
If the piston touched the liner, ring rides too deep in piston, egg shaped liner, worn piston holding pin, bent rod to name a few possible starting points
Dave"
Reciprocating Compressor Liner Failure,2019-07-15T09:53:47,AZIZ58,"pawannlng posted:
We have Reciprocating type Dresser Rand make Natural Gas ( BOG)  compressor.. It is 2 stage 4 cylinder compressor.Recently we have done complete overhauling of the machine and replaced all piston ring and rider ring with new one. In HP NDE Cylinder Piston rubbed the liner after only 50 hrs of running hour. With same piston ring and rider ring we are getting more than 4500 running hour life. In one piston there is 2 Piston and 2 rider rings. Construction of rings is Rings Split type.
What are probable reason for failure??
dear sir
because of failure event after overhauling you should check all installing and assembly procedure .do you have any vibration condition monitoring data during 50 hrs?any protection like rod drop proximity sensor ?
are you sure about  operating process parameter during that time ?   "
Reciprocating Compressor Liner Failure,2019-07-16T03:55:37,URQUIOLA,It is necesary to evaluate pictures and operational parameters. Probably was a assembly problem hiwever it is necessary to have more information.
GEAR FAILURE AT SCREW PUMP,2019-05-07T04:29:01,DOMINICH.VO,"Dear Experts, 
 this is one case the timing gear has damage then i try to figure out the root cause. 
attached is the damage gear with some pitting in teeth surface. 
 Please advice some possible cause...
 Many thanks "
GEAR FAILURE AT SCREW PUMP,2019-05-07T05:19:34,KISHORE KUMAR,"Dear DOMINICH.VO ,
it might be damaged due to operated under Misalignment or from assembly errors .If you have any Vibration spectrum , we can get more details for root cause failure findings ."
GEAR FAILURE AT SCREW PUMP,2019-05-07T06:07:44,DOMINICH.VO,"Dear Mr. Kishore Kumar, 
 Please have a look in spectrum. Some information that this pump is running with low viscosity compared with the specification. Does is effect to rotor and gear condition. "
GEAR FAILURE AT SCREW PUMP,2019-05-08T04:55:30,KISHORE KUMAR,"Dear DOMINICH.VO ,
increased noise floor with gear impact indication , are you maintaining  and changing its lubrication as per the manufacturer recommendations and grade  .
Do you mean viscosity of pumping fluid , low viscosity might have some effect but i don't think so it is the main cause   .For better understanding on this you can refer the manual and contact the support service ."
GEAR FAILURE AT SCREW PUMP,2019-05-11T11:34:25,DAVE REYNOLDS,"https://www.machinerylubricati...ad/150/gear-failures
https://www.rexnord.com/conten...ments/108-010_manual
Here are a couple of links showing different failure modes
Your images show the gear was loose on the shaft, lubrication is in question, gear material may not have been hardened to proper levels
Dave"
GEAR FAILURE AT SCREW PUMP,2019-05-13T03:46:43,DOMINICH.VO,"Thanks Dave for material. 
 the lubrication is just follow the manufacturer and no any abnormal. The spec for oil is VG100, The oil was maintaining and changing as manufacturer then i have no doubt in oil issue. 
 As see the defect mark, look like a very excessive load effect on gear and broken the teeth surface, the spectrum also shows high GMF relate to gear wear , also indicates very high load. 
then the next question is why the high load on the gear , i keep going my investigation on this way/...
 Thanks "
VFD failure,2019-04-29T00:48:23,LUKEBARBER,What are the main causes of a VFD failing and what can we do to prevent them?
VFD failure,2019-04-29T13:56:50,BECAR,"- inappropriate VFD power 
- inappropriate VFD settings
- unpredicted machine's load
- parallel drive speed mismatch
- environment conditions (heat, moisture, dust...)"
VFD failure,2019-04-30T02:10:49,LUKEBARBER,"Thank you for the response.
I found the following post helpful on the subject.
https://precisionautomation.ne...aintain-a-vfd-drive/"
Complet root cause analysis on a wheel loader,2019-03-07T12:26:51,NICKTRUCK,"Hi Dear All!
I request your advices in order to perform a root cause analysis on a wheel loader (a mining equipment).
The goal is to see why the equipment is not reliable, so I intend to use the ishikawa or fishbone method to see the causes on failure and act on them.
I would like to know if the standard factors decomposition as follow: Measurement, Materials, Personnel, Environment, Methods, Machines is suitable to explain why my equipment is not reliable?
 Or do you think that I should extract all the different problems of the machine  recorded in  a database, focus on one main single problem and perform my ishikwa diagram on that particular problem ?
Thanks in advance for your advices"
Complet root cause analysis on a wheel loader,2019-03-08T02:23:02,YOUSUF MASOOD,"RCA is used for single and usually repetitive problem but if your goal is to improve overall reliability then I suggest looking into equipment failure history and take following steps
Calculate MTBF( Mean Time Before Failures) by diving the span of time ( say 1 year) by number of failures
Using Pareto principle , figure out which failure modes are causing highest down times
Then rank these failure modes as per their criticality ( safety/production loss/etc) and select the ones first which are more critical 
Then develop a counter actions list (design improvement/Maint checks/ personnel training/logistics improvement/etc)
Check that if preventative checklist/task list covers the points located in no 3
Develop a critical spare parts list which should be readily available at store for corrective/breakdown action
After 3-6 months recalculate MTBF and compare it with the MTBF calculated previously (in step one) 
Repeat the cycle till desired reliability is achieved !"
Complet root cause analysis on a wheel loader,2019-03-08T06:26:55,NICKTRUCK,"Hi! thanks a lot for you reply.
Regarding the point n°3, how do you rank the failure mode as per their criticality ?
Regards
 "
Complet root cause analysis on a wheel loader,2019-03-08T06:50:37,NICKTRUCK,"Let’s say that I perform a pareto and discovered that I have hydraulic failure, mechanical failure, Brakes failure,  all  representing nearly 80%  of my downtimes.  How do I rank them per their (criticality safety/production loss/etc) and what are the different factors of criticality? Then do I perform an FMEA on all those three failures to select the most critical, in order to add an RCA (ISHIKIWA) on that one critical problem to implement actions ?"
Complet root cause analysis on a wheel loader,2019-03-14T02:39:42,YOUSUF MASOOD,"Apologies for the late response.
Criticality factors depends on the type of machines and process. However, it is based on the risk of financial loss, safety consequence, loss of reputation etc. \
As a general rule, Risk= probability of failure X consequence of failure
 In terms of Plant machinery,
During say one year time,        Risk ($/yr) = Failure frequency (per year) X Cost consequence ($)
 Now consider the example below :
Now say you have 5 mechanical failures and financial loss is around 100 $ each failure, so using the formula above the risk is 500 $/ year
You have 1 electrical failure and financial loss is 80$ each failure, so the risk is 80 $/year
You have 3 brake failures and each failure costs you 200 $ each failure, so the total risk is 600$ /year.
Now you can rank the failures by the associated financial risk
Brake failures 600$/year
Mechanical Failures 500$/year
Electrical failures 80$/year
 Notice that number of brake failures (3) is less the number of mechanical failures (5) but due to the highest financial impact, it should be taken care of first.
Now if your improving your preventative maintenance, having some brakes in the store , getting better quality brakes , training your people for replace the brake quicker in case of failure etc etc  you can eliminate nearly half 600/1180 of the financial risk.
After wards, follow the same principle on the rank below i.e., Mechanical failure(s)
 Complete and thorough RCA is difficult and time consuming. I suggest do it on the most critical first and then the next and so on "
Steam Path Audit,2019-02-27T00:08:57,ROTATING GUY,"Hi,
Is there anyone of us recommend company who catered SPA (Steam Path Audit) for STG? 
regards,"
Steam Path Audit,2019-02-27T14:02:48,DAVE REYNOLDS,"https://beta.spiraxsarco.com/r...ces-and-design-tools
Not sure if this company provides the services you require, I would assume they would have contacts that would provide this service
Dave"
Steam Path Audit,2019-02-28T05:36:52,ROTATING GUY,"Dave Reynolds posted:
https://beta.spiraxsarco.com/r...ces-and-design-tools
Not sure if this company provides the services you require, I would assume they would have contacts that would provide this service
Dave
thank you my friend."
catastrophic failure,2019-02-19T07:17:54,PIZO,"Hello Professionals,
Motor/timing belt drive in calander
DE bearing is spherical roller bearing 21316 E/c3 (20 Rollers), seized and the shaft got broken, Temperature was +200 C, the damage started with BPFO in the afternoon, 6 hours later...... catastrophic failure.
investigation of the case, we found another positions has 21316 cc/c3 (19 Rollers) and we never experienced a catastrophic failure !
Could an Expert help me in justifying the case
Thank you in advance
Pizo
    "
catastrophic failure,2019-02-19T08:00:34,YOUSUF MASOOD,"Though more details are required( photos/spectrum etc) but I suspect sudden fluctuation in load or process parameters may have dislocated bearing in the housing causing high friction / temperature resulted in bearing seizure. 
Also check the greasing schedule for the bearings. "
catastrophic failure,2019-02-19T09:21:17,PIZO,"Hi,
more info: Motor 140 HP & 1200 rpm
the catastrophic failure happened many times , only with the 21316 E/c3 ( 20 rollers) , so as soon as the BPFO appear, some hours later and it is died !
Could the number of rollers { 21316E/c3 (20Rollers) & 21316 CC/c3 , (19 Rollers)}  play a role in the carrying load capacity and skidding characteristics which leads to fast failure ?
thx
Pizo
 "
catastrophic failure,2019-02-19T12:33:41,BECAR,Did you measure belt tension in N? And compare it with the bearing load limit?
catastrophic failure,2019-02-19T14:36:04,PIZO,"hi
i did not measure and compare, bu it is a good direction to search, but which load exactly should i compare ?
Fap=maximum permissible axial load [kN]
Fr=radial load [kN]
P=equivalent dynamic bearing load [kN]
P0=equivalent static bearing load [kN]
Pm=equivalent minimum load [kN]
****i did not work with these calculations since 20 years ....out of my scope, but i will do my best go through...
Regards
Pizo"
catastrophic failure,2019-02-19T15:11:07,BECAR,"You should use some pro tension meter like Trummeter, which has its own calculator for suitable belt tension in N or in Hz. Or measure the force directly at the installation. I think the measured belt force on the Trummeter means just force on one side of the belt so you should multiple it roughly by 2 (or consider angles for more precise value). For the new belt installation, the tension value should also be multiplied by 1,3.
When you get this value, it should be reasonably lower than the radial load bearing values."
Reference for root cause analysis,2019-01-21T06:56:51,AZIZ58,"Dear all
Pls furnish me about standard or technical references for root cause analysis
Best regards"
Reference for root cause analysis,2019-01-28T22:07:53,JOHN FROM PA,"Conceptually,  RCA is a wide field, but I assume you mean with respect to machinery. One starting point might be https://conference.reliablepla...root-cause-analysis/.  I would also suggest you look around that Conference operator for related info."
Reference for root cause analysis,2019-01-29T03:25:49,AZIZ58,"John from PA posted:
Conceptually,  RCA is a wide field, but I assume you mean with respect to machinery. One starting point might be https://conference.reliablepla...root-cause-analysis/.  I would also suggest you look around that Conference operator for related info.
Thanks dear john for useful information
 "
Broken Gear Shaft,2019-01-07T10:55:46,JENISH,"Dear Experts,
Can anybody give any expert opinion about this Broken Shaft? It is from a stand gearbox of a rolling mill.."
Gas Turbine Bearing Failure - Lube Oil Leakage Caught Fire,2018-11-22T19:34:29,RIZWAN AHMAD,"The machine is Turbo Generator , the Gas turbine is GE Frame 1.
Fire incident happened in GT side due to Lube Oil leakage either internal or external not confirmed yet. Upon inspection , the Babbitt material loss found in bearing#3 (see attached crossection ) at LP rotor. Also coke or tar found at LP bucket. All relevant pics and GT crossection dwg attached .
The questions are:
1) what’s the origin of lube oil leakage external or internal ? Is it split from bearing housing or lube oil supply pipe leakages ?
2) what’s the root cause of lube oil leakage ?
3) What’s the root cause of Babbit materials loss at Lower part of Brg#3? Pics attached 
4) how the coke or tar formed at LP buckets ? Pic attached "
Gas Turbine Bearing Failure - Lube Oil Leakage Caught Fire,2018-11-22T19:47:05,RIZWAN AHMAD,The pic of failed bearing #3 is also attached.
Gas Turbine Bearing Failure - Lube Oil Leakage Caught Fire,2018-11-26T06:35:22,NGO DINH,"I do not have experience on frame 1 but I think you should check some information and answer for yourself that:
1. The leakage oil just happen at Bearing #3 or at all bearings?
2. Have you checked the oil drain piping for any plug/stuck? 
3. there is buffer air supplied to labyrinth seal, isn't it? if any, have you checked the buffer air lines? 
4. How about oil vapour system?
5. Have you checked the bearing temp? when is it increased? the same for vibration?
If the fire happen in the moment of GT running, i think that the oil leakage happen from internal (if from external, i believe someone seen and announced).
The bearing look like running under too high temp. The oil under high temperature (over 200oC) will form coke. "
Gas Turbine Bearing Failure - Lube Oil Leakage Caught Fire,2018-11-26T07:38:48,RIZWAN AHMAD,"Ngo Dinh posted:
I do not have experience on frame 1 but I think you should check some information and answer for yourself that:
1. The leakage oil just happen at Bearing #3 or at all bearings?
Total 4 bearings, All bearings Checked , only bearing#3 found with Babbitt material lost. other 3 bearings found normal.
2. Have you checked the oil drain piping for any plug/stuck? 
Yes Checked , no obstruction or Plugging observed.
3. there is buffer air supplied to labyrinth seal, isn't it? if any, have you checked the buffer air lines? 
Yes, Seal air has been taken from 10th stage of Axial Compressor, air supply lines have been checked and found normal for required seal air pressure.
4. How about oil vapour system?
Please elaborate further on this??
5. Have you checked the bearing temp? when is it increased? the same for vibration?
Under Review.
If the fire happen in the moment of GT running, i think that the oil leakage happen from internal (if from external, i believe someone seen and announced).
Fire smoke has been observed in exhaust duct of GT, soon after GT enclosure was opened and fire was seen, in 1st thought, LO Pump was shutdown and fire was removed, once LO Pump Started again, the fire happened again then again the L.O Pump was shutdown and fire removed. Fire is for sure due to L.O leakage , but still mystery from where the Oil leaked and how the fire caught? and how the L.O penetrated at LP rotor bucket and formed coking/tar since L.O Pressure is lesser than the Turbine Pressure??
The bearing look like running under too high temp. The oil under high temperature (over 200oC) will form coke. 
The bearing#3 damage looks secondary damage due to fire and dry running of LP rotor (since L.O pump was stopped)
How the fire happened , still dont know??
 "
Gas Turbine Bearing Failure - Lube Oil Leakage Caught Fire,2018-11-26T07:44:50,RIZWAN AHMAD,"The Ventilation Fan was also tripped due to breakage of its belt which may increase the T of enclosure and which further melt the Babbitt white metal which leads to bearing failure ?? I am not sure, can u recognize from bearing pic, is it melted during running or stationary? or is it melted due to high LO temp??? I am not sure "
Gas Turbine Bearing Failure - Lube Oil Leakage Caught Fire,2018-12-03T05:09:14,NGO DINH,"It is possible that the shaft is been hot due to fire and make the babbit overheat like picture.
You should take event sequence and see what happen near the event time. Focus to oil system and clearance, i think you will get your answer."
Gas Turbine Bearing Failure - Lube Oil Leakage Caught Fire,2018-12-03T07:10:43,RIZWAN AHMAD,"During inspection, the brass oil seal was found damaged. So, there is a possibility the oil could leak from Brg#4 and got fire, but question is why Bearing#4 which is near to fire location is not melted and how the fire traveled from Brg#4 towards Brg#3 ?  You know its Turbine Section , the pressure at Brg#3 is higher than the pressure at Brg#4"
Mechanical seal failure,2018-11-15T19:07:35,ABDULLA,"We are facing multiple seal failures (NDE side seal) in one of our multistage NGL pump . When opened the seal we found water, some black paste, one of the shaft O ring disintegrated, other O rings elongated  etc after only 6 month in service. The seal is from  Flexibox with API plan 53C . The O ring is Viton and supplied by OEM.  The symptoms begins with loosing the barrier seal which required frequent top up.
We suspect   pump product is entering inside seal due to O ring issue and causing spring hangup . Another doubt is assembly error during seal refurbishment. But as per the maintenance who refurbish the seal ( Replacing all parts except casing with new spares) there is no chance for any fitting error as it is a cartridge type seal and passes  the static test every time.
My question is how can we test the O ring in a practical way whether it is compatible for this service. Please bear in mind DE side also uses same components.
Is there any way the product can come to seal other than through secondery seals as the barrier pressure is always high
Is there any error during seal assembly is possible and if yes please explain
Any other thoughts are welcome
 "
Mechanical seal failure,2018-11-16T07:47:33,KISHORE KUMAR,"Dear ,
is there any vibration along with the seal damage .if so please post the Vibration spectrum .i don't think so it has seal issue ,may be temperature raise due to misalignment ."
Mechanical seal failure,2018-11-16T14:02:36,ABDULLA,This units have only case vibration and the monthly trend is not showing any increasing trend. The overall levels are around 4mm/sec peak.Also the temp. of seal inlet /out let was no high.
Mechanical seal failure,2018-11-18T07:26:20,ABDULLA,can some one experienced with mechanical seals can through some light at least how they will inspect the seal components and possible reasons for damage of each component 
Mechanical seal failure,2018-11-18T14:05:55,DAVE REYNOLDS,"https://www.marcorubber.com/o-ring-failure.htm
https://www.prepol.com/solutio...o-ring-failure-modes
http://www.dichtomatik.mx/cata...alisis-de-fallas.pdf
http://www.pspglobal.com/seal-failure.html
http://www.madgetech.com/pdf_f...app_notes/orings.pdf
Could be the type of barrier fluid you are using that is causing the oring to fail, could be the fluid you are pumping is attacking the oring, could be too hot for oring abilities.
The above links have some good images and details of what to look for on oring failures. I understand the DE is the same design, but are you POSITIVE they use the same barrier fluid? 
What you describe above sounds like chemical attack to the oring, if their was problems with mechanical assembly or vibration in nature, this would not cause the oring to do what you describe. Black gunk sounds like dissolved oring material, and out of shape oring also sounds like swelling of the oring material, are you SURE you have viton in both ends and that viton is compatible with your barrier fluid/product
Dave"
Mechanical seal failure,2018-11-18T18:30:52,ABDULLA,Thanks Dave for some throwing some light
Mechanical seal failure,2018-11-21T08:33:17,BECAR,Which fluid and which o-ring material. I think here is the answer. 
Firewater pumps p&id and network over pressure protection,2018-09-16T12:04:32,MNEWIRAQ2000,"Hi,
Can i get Firewater pumps p&id for any  plant you are currently working for or worked in before please. 
I want to check the over pressure protection mechanism.
Most systems that I've seen have only pressure safety valve for pump case relief purpose only!! 
 Also if you have any ideas about the philosophy of over pressure protection, please comment with it.
Your contribution and support will be highly appreciated. 
mneemnewiraq2000@gmail"
